Domain,Have_IP,Have_At,URL_Length,URL_Depth,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ciim.ac.cy,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
sitserver.es,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
universita.corsica,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
seco-larm.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
admmax.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
nls.es,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
controlbr.com.br,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ultel.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
admiralx-ara.top,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
almaer.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
yanfanchuanqi.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ilass.com.br,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
revico.jp,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ywekfal.cn,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
webproxy.click,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
banban.jp,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ttsite.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lepantalon.fr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pipe.run,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zhangchijianghu.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
book4time.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
die-karte-bitte.de,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
hefeixny.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
indra808.store,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
meu-horoscopo-do-dia.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
worsleyschool.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
fgtelecom.com.br,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
mpskin.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
seghost.de,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
coceducation.com,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
azino-azinogo.icu,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
semyanich-seeds.club,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
futureartists.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
navratdoreality.cz,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
abowin88kel.store,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
huanshanlengku.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hongmiweishang.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
